Date,Title,Location,Time,Description,Category,Audience
"Wednesday July 1, 2026",Storytime,PASEO VERDE LIBRARY,9:30am - 10:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Wednesday July 1, 2026",Summer Movie,JAMES I. GIBSON LIBRARY,10:00am - 12:00pm,Bring your family and some snacks and join us for a fun movie and free air-conditioning! We'll be watching Hercules (G; 1hr 33min).,Movie,Families Outreach Event | 4th of July Kids
"Wednesday July 1, 2026",Parade & 250th Celebration,OUTREACH,10:00am - 12:00pm,"Celebrate ""Stars, Stripes & Storytime""!",Outreach,All Ages
"Wednesday July 1, 2026",Storytime,PASEO VERDE LIBRARY,10:30am - 11:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Wednesday July 1, 2026",STEAM Team,PASEO VERDE LIBRARY,2:30pm - 3:15pm,Join us for a celebration of America with crafts and special visitors from the Daughters of the American Revolution. Ages 6-11*. No younger children allowed.,General • STEAM,Kids
"Wednesday July 1, 2026",Conversational Spanish Meet up,PASEO VERDE LIBRARY,5:30pm - 6:45pm,Join us as we build confidence in our Spanish speaking skills while exploring the richness of Hispanic cultures. See Customer Service for a pass. 18+,Local Topics & Meetings • Culture & Diversity,Adults
"Thursday July 2, 2026",Storytime,JAMES I. GIBSON LIBRARY,9:30am - 10:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers Henderson Libraries  Date Range"
"Thursday July 2, 2026",07/01/2026 - 07/31/2026,Location,All Locations,,Event Type All Types,"Age Group All Ages REGISTERED EVENTS Please sign up for any registered events. Sign up at: http://hendersonlibraries.com/events, call 702-707-BOOK (2665) or pop into any of our locations. Page 1 of 14 --footer-line"
"Thursday July 2, 2026",Summer Movie,PASEO VERDE LIBRARY,10:00am - 12:00pm,Bring your family and some snacks and join us for a fun movie and free air-conditioning! We'll be watching The LEGO Batman Movie. (PG; 144min).,Movie,Families
"Thursday July 2, 2026",Storytime,JAMES I. GIBSON LIBRARY,10:30am - 11:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
